,modelo,km,color,precio,year
472,Model Y ,2036.0,blanco,45800.0,2024
473,Model Y ,28.0,blanco,45870.0,2024
474,Model Y ,3438.0,blanco,45890.0,2024
475,Model Y ,4569.0,azul,46040.0,2024
476,Model Y ,7.0,blanco,46200.0,2024
477,Model Y ,29.0,blanco,46200.0,2024
478,Model Y ,400.0,blanco,46610.0,2024
479,Model Y ,3945.0,rojo,46950.0,2024
480,Model Y ,1991.0,blanco,47020.0,2024
481,Model Y ,3144.0,rojo,47120.0,2024
482,Model Y ,3177.0,blanco,47340.0,2024
483,Model Y ,4462.0,blanco,47670.0,2024
484,Model Y ,2501.0,azul,47730.0,2024
485,Model Y ,2923.0,rojo,48220.0,2024
486,Model Y ,2332.0,blanco,48220.0,2024
487,Model Y ,2857.0,azul,48240.0,2024
488,Model Y ,0.0,blanco,48470.0,2024
489,Model Y ,0.0,blanco,48470.0,2024
490,Model Y ,0.0,blanco,48470.0,2024
491,Model Y ,0.0,blanco,48470.0,2024
492,Model Y ,0.0,blanco,48860.0,2024
493,Model Y ,6277.0,gris,48870.0,2024
494,Model Y ,3185.0,gris,49150.0,2024
495,Model Y ,1515.0,negro,49260.0,2024
496,Model Y ,0.0,azul,49410.0,2024
497,Model Y ,0.0,negro,49410.0,2024
498,Model Y ,0.0,blanco,49520.0,2024
499,Model Y ,0.0,negro,49770.0,2024
500,Model Y ,0.0,negro,49770.0,2024
501,Model Y ,10.0,negro,49800.0,2024
502,Model Y ,26.0,blanco,49860.0,2024
503,Model Y ,0.0,blanco,49910.0,2024
504,Model Y ,118.0,blanco,49920.0,2024
505,Model Y ,26.0,blanco,49930.0,2024
506,Model Y ,3597.0,gris,50090.0,2024
507,Model Y ,0.0,negro,50160.0,2024
508,Model Y ,565.0,blanco,50410.0,2024
509,Model Y ,7.0,gris,50430.0,2024
510,Model Y ,4042.0,rojo,50500.0,2024
511,Model Y ,0.0,blanco,50570.0,2024
512,Model Y ,0.0,blanco,50570.0,2024
513,Model Y ,0.0,blanco,50570.0,2024
514,Model Y ,9.0,blanco,50960.0,2024
515,Model Y ,0.0,rojo,51070.0,2024
516,Model Y ,4.0,gris,51170.0,2024
517,Model Y ,0.0,blanco,51620.0,2024
518,Model Y ,831.0,gris,51730.0,2024
519,Model Y ,0.0,gris,51760.0,2024
520,Model Y ,334.0,gris,52130.0,2024
521,Model Y ,0.0,gris,52420.0,2024
522,Model Y ,0.0,rojo,53170.0,2024
523,Model Y ,2115.0,blanco,55290.0,2024
524,Model Y ,0.0,blanco,55710.0,2024
525,Model Y ,0.0,gris,55730.0,2024
526,Model Y ,612.0,azul,56810.0,2024
527,Model Y ,10.0,gris,56950.0,2024
528,Model Y ,95.0,gris,56950.0,2024
529,Model Y ,9.0,blanco,57220.0,2024
530,Model Y ,0.0,negro,57700.0,2024
531,Model Y ,7.0,blanco,58500.0,2024
532,Model Y ,179.0,rojo,58960.0,2024
533,Model Y ,0.0,blanco,58970.0,2024
534,Model Y ,0.0,azul,58970.0,2024
535,Model Y ,54.0,gris,59440.0,2024
536,Model Y ,0.0,negro,61320.0,2024
537,Model Y ,396.0,negro,61500.0,2024
538,Model Y ,0.0,negro,61620.0,2024
539,Model Y ,0.0,negro,61620.0,2024
540,Model Y ,0.0,rojo,62620.0,2024
541,Model Y ,0.0,gris,65370.0,2024
542,Model Y ,0.0,rojo,66420.0,2024
543,Model Y ,0.0,gris,40500.0,2024
544,Model Y ,0.0,negro,46800.0,2023
